wavelength	flux	error
3850.000000	0.840654	0.000000
3850.500000	0.814677	0.000000
3851.000000	0.814835	0.000000
3851.500000	0.813770	0.000000
3852.000000	0.772309	0.000000
3852.500000	0.773283	0.000000
3853.000000	0.859615	0.000000
3853.500000	0.901004	0.000000
3854.000000	0.906769	0.000000
3854.500000	0.947664	0.000000
3855.000000	0.997313	0.000000
3855.500000	0.929072	0.000000
3856.000000	0.875295	0.000000
3856.500000	0.869326	0.000000
3857.000000	0.859644	0.000000
3857.500000	0.845544	0.000000
3858.000000	0.881048	0.000000
3858.500000	0.939866	0.000000
3859.000000	0.901614	0.000000
3859.500000	0.864047	0.000000
3860.000000	0.902574	0.000000
3860.500000	0.948279	0.000000
3861.000000	1.007349	0.000000
3861.500000	0.978534	0.000000
3862.000000	0.883686	0.000000
3862.500000	0.915583	0.000000
3863.000000	0.979007	0.000000
3863.500000	0.928496	0.000000
3864.000000	0.886802	0.000000
3864.500000	0.873906	0.000000
3865.000000	0.891787	0.000000
3865.500000	0.946514	0.000000
3866.000000	0.940197	0.000000
3866.500000	0.904504	0.000000
3867.000000	0.827882	0.000000
3867.500000	0.769589	0.000000
3868.000000	0.891289	0.000000
3868.500000	0.959410	0.000000
3869.000000	0.919980	0.000000
3869.500000	0.886578	0.000000
3870.000000	0.858086	0.000000
3870.500000	0.843311	0.000000
3871.000000	0.832653	0.000000
3871.500000	0.916440	0.000000
3872.000000	0.982602	0.000000
3872.500000	0.974705	0.000000
3873.000000	0.926811	0.000000
3873.500000	0.823756	0.000000
3874.000000	0.838114	0.000000
3874.500000	0.919501	0.000000
3875.000000	0.914856	0.000000
3875.500000	0.896362	0.000000
3876.000000	0.891907	0.000000
3876.500000	0.874183	0.000000
3877.000000	0.822900	0.000000
3877.500000	0.797092	0.000000
3878.000000	0.796989	0.000000
3878.500000	0.749080	0.000000
3879.000000	0.681813	0.000000
3879.500000	0.661773	0.000000
3880.000000	0.653656	0.000000
3880.500000	0.695956	0.000000
3881.000000	0.701791	0.000000
3881.500000	0.640669	0.000000
3882.000000	0.595517	0.000000
3882.500000	0.562694	0.000000
3883.000000	0.571697	0.000000
3883.500000	0.592866	0.000000
3884.000000	0.557007	0.000000
3884.500000	0.529037	0.000000
3885.000000	0.534117	0.000000
3885.500000	0.496455	0.000000
3886.000000	0.395464	0.000000
3886.500000	0.342530	0.000000
3887.000000	0.317231	0.000000
3887.500000	0.314926	0.000000
3888.000000	0.317779	0.000000
3888.500000	0.285441	0.000000
3889.000000	0.267618	0.000000
3889.500000	0.293256	0.000000
3890.000000	0.307655	0.000000
3890.500000	0.308828	0.000000
3891.000000	0.315289	0.000000
3891.500000	0.324365	0.000000
3892.000000	0.394488	0.000000
3892.500000	0.464235	0.000000
3893.000000	0.436381	0.000000
3893.500000	0.407576	0.000000
3894.000000	0.376525	0.000000
3894.500000	0.381329	0.000000
3895.000000	0.422228	0.000000
3895.500000	0.472905	0.000000
3896.000000	0.527676	0.000000
3896.500000	0.563754	0.000000
3897.000000	0.592046	0.000000
3897.500000	0.575151	0.000000
3898.000000	0.577694	0.000000
3898.500000	0.621232	0.000000
3899.000000	0.656515	0.000000
3899.500000	0.684384	0.000000
3900.000000	0.691233	0.000000
3900.500000	0.690362	0.000000
3901.000000	0.741746	0.000000
3901.500000	0.791461	0.000000
3902.000000	0.807669	0.000000
3902.500000	0.799839	0.000000
3903.000000	0.745560	0.000000
3903.500000	0.713530	0.000000
3904.000000	0.700154	0.000000
3904.500000	0.758392	0.000000
3905.000000	0.841003	0.000000
3905.500000	0.833940	0.000000
3906.000000	0.824305	0.000000
3906.500000	0.828075	0.000000
3907.000000	0.840152	0.000000
3907.500000	0.867453	0.000000
3908.000000	0.869471	0.000000
3908.500000	0.849894	0.000000
3909.000000	0.831795	0.000000
3909.500000	0.816051	0.000000
3910.000000	0.828568	0.000000
3910.500000	0.849164	0.000000
3911.000000	0.898068	0.000000
3911.500000	0.927646	0.000000
3912.000000	0.921240	0.000000
3912.500000	0.917124	0.000000
3913.000000	0.914894	0.000000
3913.500000	0.896480	0.000000
3914.000000	0.872546	0.000000
3914.500000	0.906143	0.000000
3915.000000	0.936975	0.000000
3915.500000	0.930338	0.000000
3916.000000	0.941421	0.000000
3916.500000	0.987173	0.000000
3917.000000	0.976074	0.000000
3917.500000	0.915503	0.000000
3918.000000	0.899250	0.000000
3918.500000	0.899309	0.000000
3919.000000	0.891004	0.000000
3919.500000	0.883796	0.000000
